transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Age
2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Male,19,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,984 Hoepker Court,3064,VIC,Australia,6,65.0
2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,37659.0,Male,19,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,984 Hoepker Court,3064,VIC,Australia,6,65.0
2017-04-26,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,40487.0,Male,19,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,984 Hoepker Court,3064,VIC,Australia,6,65.0
2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-10-05,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-10-30,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,38002.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-01-30,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,34556.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-01-20,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,34071.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-12-10,0.0,Approved,Solex,Road,medium,medium,416.98,312.74,41848.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-10-24,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38216.0,Female,89,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196,NSW,Australia,5,41.0
2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Male,9,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835,NSW,Australia,1,43.0
2017-11-04,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,Male,9,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835,NSW,Australia,1,43.0
2017-09-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Male,9,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835,NSW,Australia,1,43.0
2017-01-29,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Male,9,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835,NSW,Australia,1,43.0
2017-05-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Male,9,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835,NSW,Australia,1,43.0
2017-10-03,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Male,9,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835,NSW,Australia,1,43.0
2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-02-27,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-02-08,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-05-17,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-05-18,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-05-31,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-02-13,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Male,83,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096,NSW,Australia,10,58.0
2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-01-24,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-06-18,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,38339.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-08-08,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39427.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
